year,week,weeklyCases,weeklyDeaths,weekly14DayIncidence,correlationEstimate	
2020,1,59,0,0.000000,	
2020,2,0,1,0.000000,	
2020,3,158,2,0.004467,0.430380	
2020,4,1782,53,0.001744,0.221439	
2020,5,12455,248,0.018060,0.150800	
2020,6,22921,508,0.057232,0.141812	
2020,7,31657,856,0.096796,0.195653	
2020,8,8923,788,0.096834,0.134677	
2020,9,5025,502,0.139289,0.066118	
2020,10,13381,547,0.842076,0.036142	
2020,11,34343,1928,2.325406,0.049693	
2020,12,85282,5265,5.102017,0.042486	
2020,13,151437,9625,14.333634,0.027371	
2020,14,184352,15708,31.169481,0.021091	
2020,15,173548,17589,37.278487,0.017370	
2020,16,154885,18684,31.842674,0.013823	
2020,17,147645,14755,25.482834,0.012910	
2020,18,163213,13334,20.661306,0.013090	
2020,19,185380,12664,18.275143,0.019699	
2020,20,212951,13159,16.344639,0.024128	
2020,21,285893,12850,16.373601,0.032730	
2020,22,350829,12861,19.093160,0.036799	
2020,23,409101,14223,23.053980,0.036897	
2020,24,439889,15369,25.146887,0.032967	
2020,25,548862,18221,26.291288,0.030908	
2020,26,591436,16783,28.803666,0.032960	
2020,27,665728,17833,31.309491,0.030569	
2020,28,697468,18346,33.117649,0.030588	
2020,29,743470,20397,33.845212,0.027658	
2020,30,930401,21731,35.565077,0.031558	
2020,31,1013482,21622,38.721458,0.030382	
2020,32,1048840,21852,43.120069,0.031193	
2020,33,1103030,22550,51.043728,0.031154	
2020,34,1079826,22709,56.491709,0.031129	
2020,35,1138437,22111,58.757992,0.031065	
2020,36,1237203,21613,61.585849,0.032492	
2020,37,1247358,26594,64.015927,0.027099	
2020,38,1325777,21974,70.792544,0.033420	
2020,39,1305777,22630,80.130204,0.029279	
2020,40,1273698,24663,86.466741,0.026060	
2020,41,1313409,21631,94.542364,0.023359	
2020,42,1361746,20537,121.551972,0.018777	
2020,43,1580874,21400,152.457214,0.013384	
2020,44,1749637,23746,171.478824,0.011121	
2020,45,1889482,28080,183.772717,0.011491	
2020,46,1793945,31553,190.567638,0.011090	
2020,47,1726576,33263,187.167497,0.011749	
2020,48,1629748,34390,175.961364,0.010836	
2020,49,1599703,34585,173.069338,0.010584	
2020,50,1529045,32578,176.464591,0.010969	
2020,51,171857,3154,177.748130,0.066143	
