dateRep,year,month,day,totalCases,totalDeaths,cumulativeCases,cumulativeDeaths	
01/01/2020,2020,1,1,0,0,0,0	
01/02/2020,2020,2,1,2101,46,2101,46	
01/03/2020,2020,3,1,1171,55,3272,101	
01/04/2020,2020,4,1,28701,2054,31973,2155	
01/05/2020,2020,5,1,24755,1857,56728,4012	
01/06/2020,2020,6,1,47426,1497,104154,5509	
01/07/2020,2020,7,1,102906,2831,207060,8340	
01/08/2020,2020,8,1,158276,3305,365336,11645	
01/09/2020,2020,9,1,162506,2483,527842,14128	
01/10/2020,2020,10,1,206552,3679,734394,17807	
01/11/2020,2020,11,1,240810,3251,975204,21058	
01/12/2020,2020,12,1,181404,4718,1156608,25776	
02/01/2020,2020,1,2,0,0,1156608,25776	
02/02/2020,2020,2,2,2598,45,1159206,25821	
02/03/2020,2020,3,2,1262,60,1160468,25881	
02/04/2020,2020,4,2,28331,2006,1188799,27887	
02/05/2020,2020,5,2,23506,1819,1212305,29706	
02/06/2020,2020,6,2,43172,1440,1255477,31146	
02/07/2020,2020,7,2,102263,2520,1357740,33666	
02/08/2020,2020,8,2,153012,3135,1510752,36801	
02/09/2020,2020,9,2,172729,3709,1683481,40510	
02/10/2020,2020,10,2,206579,6375,1890060,46885	
02/11/2020,2020,11,2,223045,2890,2113105,49775	
02/12/2020,2020,12,2,234055,5745,2347160,55520	
03/01/2020,2020,1,3,17,0,2347177,55520	
03/02/2020,2020,2,3,2814,57,2349991,55577	
03/03/2020,2020,3,3,1117,62,2351108,55639	
03/04/2020,2020,4,3,25889,1970,2376997,57609	
03/05/2020,2020,5,3,22057,2054,2399054,59663	
03/06/2020,2020,6,3,59601,2266,2458655,61929	
03/07/2020,2020,7,3,106544,2887,2565199,64816	
03/08/2020,2020,8,3,119820,2682,2685019,67498	
03/09/2020,2020,9,3,190991,3569,2876010,71067	
03/10/2020,2020,10,3,194435,3313,3070445,74380	
03/11/2020,2020,11,3,232962,3747,3303407,78127	
03/12/2020,2020,12,3,249419,5113,3552826,83240	
04/01/2020,2020,1,4,0,0,3552826,83240	
04/02/2020,2020,2,4,3241,65,3556067,83305	
04/03/2020,2020,3,4,1590,77,3557657,83382	
04/04/2020,2020,4,4,26728,3476,3584385,86858	
04/05/2020,2020,5,4,22009,1378,3606394,88236	
04/06/2020,2020,6,4,62778,2422,3669172,90658	
04/07/2020,2020,7,4,102269,2810,3771441,93468	
04/08/2020,2020,8,4,115668,2646,3887109,96114	
04/09/2020,2020,9,4,186812,3133,4073921,99247	
04/10/2020,2020,10,4,183347,2819,4257268,102066	
04/11/2020,2020,11,4,246534,4412,4503802,106478	
04/12/2020,2020,12,4,261798,5413,4765600,111891	
05/01/2020,2020,1,5,15,0,4765615,111891	
05/02/2020,2020,2,5,3889,66,4769504,111957	
05/03/2020,2020,3,5,1624,74,4771128,112031	
05/04/2020,2020,4,5,29331,2843,4800459,114874	
05/05/2020,2020,5,5,25511,1676,4825970,116550	
05/06/2020,2020,6,5,64881,2482,4890851,119032	
05/07/2020,2020,7,5,95496,2747,4986347,121779	
05/08/2020,2020,8,5,148367,3397,5134714,125176	
05/09/2020,2020,9,5,200294,3408,5335008,128584	
05/10/2020,2020,10,5,146697,2458,5481705,131042	
05/11/2020,2020,11,5,277407,4452,5759112,135494	
05/12/2020,2020,12,5,248739,5581,6007851,141075	
06/01/2020,2020,1,6,0,0,6007851,141075	
06/02/2020,2020,2,6,3738,72,6011589,141147	
06/03/2020,2020,3,6,2050,91,6013639,141238	
06/04/2020,2020,4,6,20770,1860,6034409,143098	
06/05/2020,2020,5,6,23963,1987,6058372,145085	
06/06/2020,2020,6,6,67926,2149,6126298,147234	
06/07/2020,2020,7,6,84641,2013,6210939,149247	
06/08/2020,2020,8,6,166899,3582,6377838,152829	
06/09/2020,2020,9,6,181954,2975,6559792,155804	
06/10/2020,2020,10,6,145804,2765,6705596,158569	
06/11/2020,2020,11,6,298783,4402,7004379,162971	
06/12/2020,2020,12,6,231505,4312,7235884,167283	
07/01/2020,2020,1,7,0,0,7235884,167283	
07/02/2020,2020,2,7,3205,73,7239089,167356	
07/03/2020,2020,3,7,2893,96,7241982,167452	
07/04/2020,2020,4,7,22539,2354,7264521,169806	
07/05/2020,2020,5,7,30041,2129,7294562,171935	
07/06/2020,2020,6,7,63317,1967,7357879,173902	
07/07/2020,2020,7,7,76057,2220,7433936,176122	
07/08/2020,2020,8,7,170510,3240,7604446,179362	
07/09/2020,2020,9,7,147135,7765,7751581,187127	
07/10/2020,2020,10,7,199073,3347,7950654,190474	
07/11/2020,2020,11,7,304643,4579,8255297,195053	
07/12/2020,2020,12,7,182940,3453,8438237,198506	
08/01/2020,2020,1,8,0,0,8438237,198506	
08/02/2020,2020,2,8,3427,86,8441664,198592	
08/03/2020,2020,3,8,2845,87,8444509,198679	
08/04/2020,2020,4,8,23081,3137,8467590,201816	
08/05/2020,2020,5,8,28534,1881,8496124,203697	
08/06/2020,2020,6,8,53720,1944,8549844,205641	
08/07/2020,2020,7,8,102291,2897,8652135,208538	
08/08/2020,2020,8,8,165102,3418,8817237,211956	
08/09/2020,2020,9,8,136695,2547,8953932,214503	
08/10/2020,2020,10,8,211277,3259,9165209,217762	
08/11/2020,2020,11,8,306108,3598,9471317,221360	
08/12/2020,2020,12,8,165515,4296,9636832,225656	
09/01/2020,2020,1,9,0,0,9636832,225656	
09/02/2020,2020,2,9,2607,89,9639439,225745	
09/03/2020,2020,3,9,3002,220,9642441,225965	
09/04/2020,2020,4,9,26442,2226,9668883,228191	
09/05/2020,2020,5,9,27654,2015,9696537,230206	
09/06/2020,2020,6,9,49655,1701,9746192,231907	
09/07/2020,2020,7,9,107119,2804,9853311,234711	
09/08/2020,2020,8,9,162474,2887,10015785,237598	
09/09/2020,2020,9,9,161588,2899,10177373,240497	
09/10/2020,2020,10,9,204343,3678,10381716,244175	
09/11/2020,2020,11,9,221308,3210,10603024,247385	
09/12/2020,2020,12,9,227487,5457,10830511,252842	
10/01/2020,2020,1,10,0,0,10830511,252842	
10/02/2020,2020,2,10,2980,97,10833491,252939	
10/03/2020,2020,3,10,3293,176,10836784,253115	
10/04/2020,2020,4,10,29093,3166,10865877,256281	
10/05/2020,2020,5,10,27668,1598,10893545,257879	
10/06/2020,2020,6,10,66489,2320,10960034,260199	
10/07/2020,2020,7,10,109205,2832,11069239,263031	
10/08/2020,2020,8,10,128007,3015,11197246,266046	
10/09/2020,2020,9,10,196835,3511,11394081,269557	
10/10/2020,2020,10,10,207204,3237,11601285,272794	
10/11/2020,2020,11,10,200370,4096,11801655,276890	
10/12/2020,2020,12,10,238948,4724,12040603,281614	
11/01/2020,2020,1,11,0,1,12040603,281615	
11/02/2020,2020,2,11,2555,108,12043158,281723	
11/03/2020,2020,3,11,2958,249,12046116,281972	
11/04/2020,2020,4,11,29147,2617,12075263,284589	
11/05/2020,2020,5,11,23740,1726,12099003,286315	
11/06/2020,2020,6,11,70118,2532,12169121,288847	
11/07/2020,2020,7,11,113469,2882,12282590,291729	
11/08/2020,2020,8,11,123433,2705,12406023,294434	
11/09/2020,2020,9,11,204260,3451,12610283,297885	
11/10/2020,2020,10,11,199011,2887,12809294,300772	
11/11/2020,2020,11,11,250060,5077,13059354,305849	
11/12/2020,2020,12,11,249490,5348,13308844,311197	
12/01/2020,2020,1,12,0,0,13308844,311197	
12/02/2020,2020,2,12,2069,97,13310913,311294	
12/03/2020,2020,3,12,4907,299,13315820,311593	
12/04/2020,2020,4,12,22476,2229,13338296,313822	
12/05/2020,2020,5,12,22678,1476,13360974,315298	
12/06/2020,2020,6,12,66363,2345,13427337,317643	
12/07/2020,2020,7,12,104686,2698,13532023,320341	
12/08/2020,2020,8,12,166029,3351,13698052,323692	
12/09/2020,2020,9,12,206876,3414,13904928,327106	
12/10/2020,2020,10,12,156726,2406,14061654,329512	
12/11/2020,2020,11,12,291778,4672,14353432,334184	
12/12/2020,2020,12,12,247097,5183,14600529,339367	
13/01/2020,2020,1,13,0,0,14600529,339367	
13/02/2020,2020,2,13,15145,255,14615674,339622	
13/03/2020,2020,3,13,6187,296,14621861,339918	
13/04/2020,2020,4,13,18972,1966,14640833,341884	
13/05/2020,2020,5,13,28692,2293,14669525,344177	
13/06/2020,2020,6,13,70457,2390,14739982,346567	
13/07/2020,2020,7,13,88328,2278,14828310,348845	
13/08/2020,2020,8,13,176759,3603,15005069,352448	
13/09/2020,2020,9,13,193969,3007,15199038,355455	
13/10/2020,2020,10,13,149605,2481,15348643,357936	
13/11/2020,2020,11,13,292458,5022,15641101,362958	
13/12/2020,2020,12,13,217568,4117,15858669,367075	
14/01/2020,2020,1,14,0,0,15858669,367075	
14/02/2020,2020,2,14,4205,13,15862874,367088	
14/03/2020,2020,3,14,6547,383,15869421,367471	
14/04/2020,2020,4,14,19255,2120,15888676,369591	
14/05/2020,2020,5,14,31424,1733,15920100,371324	
14/06/2020,2020,6,14,63087,2137,15983187,373461	
14/07/2020,2020,7,14,83359,2279,16066546,375740	
14/08/2020,2020,8,14,178006,3482,16244552,379222	
14/09/2020,2020,9,14,163429,2480,16407981,381702	
14/10/2020,2020,10,14,175552,2664,16583533,384366	
14/11/2020,2020,11,14,275006,4969,16858539,389335	
14/12/2020,2020,12,14,171857,3154,17030396,392489	
15/01/2020,2020,1,15,1,1,17030397,392490	
15/02/2020,2020,2,15,2548,144,17032945,392634	
15/03/2020,2020,3,15,7449,305,17040394,392939	
15/04/2020,2020,4,15,24006,2674,17064400,395613	
15/05/2020,2020,5,15,34062,2174,17098462,397787	
15/06/2020,2020,6,15,57493,1854,17155955,399641	
15/07/2020,2020,7,15,108240,2883,17264195,402524	
15/08/2020,2020,8,15,171707,3366,17435902,405890	
15/09/2020,2020,9,15,155199,2553,17591101,408443	
15/10/2020,2020,10,15,215139,3079,17806240,411522	
15/11/2020,2020,11,15,262965,4507,18069205,416029	
16/01/2020,2020,1,16,0,0,18069205,416029	
16/02/2020,2020,2,16,2155,142,18071360,416171	
16/03/2020,2020,3,16,7445,553,18078805,416724	
16/04/2020,2020,4,16,22728,3274,18101533,419998	
16/05/2020,2020,5,16,37095,2073,18138628,422071	
16/06/2020,2020,6,16,58522,1755,18197150,423826	
16/07/2020,2020,7,16,112728,3196,18309878,427022	
16/08/2020,2020,8,16,159089,3028,18468967,430050	
16/09/2020,2020,9,16,190774,3689,18659741,433739	
16/10/2020,2020,10,16,225584,3365,18885325,437104	
16/11/2020,2020,11,16,196044,3451,19081369,440555	
17/01/2020,2020,1,17,4,0,19081373,440555	
17/02/2020,2020,2,17,2060,105,19083433,440660	
17/03/2020,2020,3,17,8874,530,19092307,441190	
17/04/2020,2020,4,17,24344,3877,19116651,445067	
17/05/2020,2020,5,17,35260,1684,19151911,446751	
17/06/2020,2020,6,17,74450,4182,19226361,450933	
17/07/2020,2020,7,17,124373,3199,19350734,454132	
17/08/2020,2020,8,17,127112,2595,19477846,456727	
17/09/2020,2020,9,17,206131,3312,19683977,460039	
17/10/2020,2020,10,17,228030,3382,19912007,463421	
17/11/2020,2020,11,17,192309,4437,20104316,467858	
18/01/2020,2020,1,18,17,0,20104333,467858	
18/02/2020,2020,2,18,1989,98,20106322,467956	
18/03/2020,2020,3,18,8985,549,20115307,468505	
18/04/2020,2020,4,18,22931,2525,20138238,471030	
18/05/2020,2020,5,18,27401,1329,20165639,472359	
18/06/2020,2020,6,18,106025,2633,20271664,474992	
18/07/2020,2020,7,18,113259,4001,20384923,478993	
18/08/2020,2020,8,18,116794,2835,20501717,481828	
18/09/2020,2020,9,18,205883,3382,20707600,485210	
18/10/2020,2020,10,18,211110,3160,20918710,488370	
18/11/2020,2020,11,18,268368,5740,21187078,494110	
19/01/2020,2020,1,19,136,1,21187214,494111	
19/02/2020,2020,2,19,1845,139,21189059,494250	
19/03/2020,2020,3,19,10074,735,21199133,494985	
19/04/2020,2020,4,19,22649,2248,21221782,497233	
19/05/2020,2020,5,19,34520,1616,21256302,498849	
19/06/2020,2020,6,19,66014,2685,21322316,501534	
19/07/2020,2020,7,19,113183,2561,21435499,504095	
19/08/2020,2020,8,19,163510,3594,21599009,507689	
19/09/2020,2020,9,19,205796,3468,21804805,511157	
19/10/2020,2020,10,19,176751,2135,21981556,513292	
19/11/2020,2020,11,19,275199,5212,22256755,518504	
20/01/2020,2020,1,20,19,0,22256774,518504	
20/02/2020,2020,2,20,493,116,22257267,518620	
20/03/2020,2020,3,20,17532,804,22274799,519424	
20/04/2020,2020,4,20,18149,1760,22292948,521184	
20/05/2020,2020,5,20,41770,2135,22334718,523319	
20/06/2020,2020,6,20,104676,2733,22439394,526052	
20/07/2020,2020,7,20,100277,2494,22539671,528546	
20/08/2020,2020,8,20,173540,3522,22713211,532068	
20/09/2020,2020,9,20,198565,3090,22911776,535158	
20/10/2020,2020,10,20,171338,2813,23083114,537971	
20/11/2020,2020,11,20,260348,4398,23343462,542369	
21/01/2020,2020,1,21,151,3,23343613,542372	
21/02/2020,2020,2,21,919,118,23344532,542490	
21/03/2020,2020,3,21,16228,937,23360760,543427	
21/04/2020,2020,4,21,19445,2042,23380205,545469	
21/05/2020,2020,5,21,45568,1829,23425773,547298	
21/06/2020,2020,6,21,81682,2379,23507455,549677	
21/07/2020,2020,7,21,99013,2653,23606468,552330	
21/08/2020,2020,8,21,173283,3655,23779751,555985	
21/09/2020,2020,9,21,163563,2521,23943314,558506	
21/10/2020,2020,10,21,214738,3376,24158052,561882	
21/11/2020,2020,11,21,292722,6089,24450774,567971	
22/01/2020,2020,1,22,140,11,24450914,567982	
22/02/2020,2020,2,22,870,111,24451784,568093	
22/03/2020,2020,3,22,16144,1157,24467928,569250	
22/04/2020,2020,4,22,21013,2254,24488941,571504	
22/05/2020,2020,5,22,44979,2167,24533920,573671	
22/06/2020,2020,6,22,62667,1990,24596587,575661	
22/07/2020,2020,7,22,120222,3115,24716809,578776	
22/08/2020,2020,8,22,154702,3310,24871511,582086	
22/09/2020,2020,9,22,155125,2983,25026636,585069	
22/10/2020,2020,10,22,239965,3386,25266601,588455	
22/11/2020,2020,11,22,241586,3936,25508187,592391	
23/01/2020,2020,1,23,97,0,25508284,592391	
23/02/2020,2020,2,23,747,101,25509031,592492	
23/03/2020,2020,3,23,15952,1034,25524983,593526	
23/04/2020,2020,4,23,21546,2168,25546529,595694	
23/05/2020,2020,5,23,47995,1982,25594524,597676	
23/06/2020,2020,6,23,66456,1729,25660980,599405	
23/07/2020,2020,7,23,159608,3670,25820588,603075	
23/08/2020,2020,8,23,170885,3198,25991473,606273	
23/09/2020,2020,9,23,183628,3433,26175101,609706	
23/10/2020,2020,10,23,255966,3315,26431067,613021	
23/11/2020,2020,11,23,198580,3604,26629647,616625	
24/01/2020,2020,1,24,260,9,26629907,616634	
24/02/2020,2020,2,24,357,154,26630264,616788	
24/03/2020,2020,3,24,19421,1092,26649685,617880	
24/04/2020,2020,4,24,23011,2333,26672696,620213	
24/05/2020,2020,5,24,43660,1792,26716356,622005	
24/06/2020,2020,6,24,83799,2686,26800155,624691	
24/07/2020,2020,7,24,157372,3433,26957527,628124	
24/08/2020,2020,8,24,129780,2412,27087307,630536	
24/09/2020,2020,9,24,203250,3519,27290557,634055	
24/10/2020,2020,10,24,269831,3367,27560388,637422	
24/11/2020,2020,11,24,186086,4484,27746474,641906	
25/01/2020,2020,1,25,445,15,27746919,641921	
25/02/2020,2020,2,25,635,78,27747554,641999	
25/03/2020,2020,3,25,17762,1292,27765316,643291	
25/04/2020,2020,4,25,22444,2046,27787760,645337	
25/05/2020,2020,5,25,41293,1319,27829053,646656	
25/06/2020,2020,6,25,93958,2571,27923011,649227	
25/07/2020,2020,7,25,150516,3256,28073527,652483	
25/08/2020,2020,8,25,123066,2713,28196593,655196	
25/09/2020,2020,9,25,204634,3470,28401227,658666	
25/10/2020,2020,10,25,252285,3008,28653512,661674	
25/11/2020,2020,11,25,211457,5474,28864969,667148	
26/01/2020,2020,1,26,670,15,28865639,667163	
26/02/2020,2020,2,26,591,61,28866230,667224	
26/03/2020,2020,3,26,22111,1291,28888341,668515	
26/04/2020,2020,4,26,22037,2152,28910378,670667	
26/05/2020,2020,5,26,38598,1666,28948976,672333	
26/06/2020,2020,6,26,91796,2673,29040772,675006	
26/07/2020,2020,7,26,143393,3110,29184165,678116	
26/08/2020,2020,8,26,166679,3705,29350844,681821	
26/09/2020,2020,9,26,196591,3398,29547435,685219	
26/10/2020,2020,10,26,214581,2516,29762016,687735	
26/11/2020,2020,11,26,277449,5572,30039465,693307	
27/01/2020,2020,1,27,787,25,30040252,693332	
27/02/2020,2020,2,27,621,37,30040873,693369	
27/03/2020,2020,3,27,25513,1476,30066386,694845	
27/04/2020,2020,4,27,28456,1315,30094842,696160	
27/05/2020,2020,5,27,40617,1874,30135459,698034	
27/06/2020,2020,6,27,97527,2425,30232986,700459	
27/07/2020,2020,7,27,120811,2478,30353797,702937	
27/08/2020,2020,8,27,179559,3478,30533356,706415	
27/09/2020,2020,9,27,198986,3306,30732342,709721	
